Link(url='https://twitter.com/ThePuneMirror', text='Follow', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jimmy-shergill/punephotos/47831658.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/taylor-swift/punephotos/47785838.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sara-sampaio/punephotos/47785819.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/emma-stone/punephotos/47785803.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/nargis-fakhri/punephotos/47785786.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/anushka-sharma/punephotos/47693265.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kangana-ranaut/punephotos/47693292.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/richa-chadha/punephotos/47693318.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/parineeti-chopra/punephotos/47693302.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jennifer-aniston/punephotos/47600657.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/paris-hilton/punephotos/47600620.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/rihanna/punephotos/47600600.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/alia-bhatt/punephotos/47600586.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/christina-aguilera/punephotos/47575127.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/salma-hayek/punephotos/47575107.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kate-winslet/punephotos/47575098.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/penelope-cruz/punephotos/47575086.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/tennis/Andy-Murray/punephotos/47555019.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/tennis/Novak-Djokovic/punephotos/47555009.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/football/Lionel-Messi/punephotos/47542236.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/football/Steven-Gerrard/punephotos/47459490.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/nargis-fakhri/punephotos/47542545.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/amyra-dastur/punephotos/47542530.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/shefali-shah/punephotos/47542514.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/meenakshi-dixit/punephotos/47542495.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jennifer-aniston/punephotos/47481545.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/priyanka-chopra/punephotos/47481517.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/taylor-swift/punephotos/47481490.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/alia-bhatt/punephotos/47481482.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/amal-clooney/punephotos/47431641.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/golshifteh-farahani/punephotos/47431624.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/eva-mendes/punephotos/47431610.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kylie-minogue/punephotos/47431597.cms', text=u'', fragment='', nofollow=False)
